,name,price,original_price,reviews,Rating,Bank_offers,discount_percent
476,"Number Super Buds GTS9 w/Monster Led Light,70H Playtime...",1099.0,5999.0,46.0,4.3,Bank Offer,81.68028004667445
477,"GOBOULT Astra with Quad Mic ENC, 48Hrs Battery, Made in...",1199.0,3499.0,173.0,4.1,Bank Offer,65.73306659045441
478,"realme Buds Air8 with 55dB ANC,11+6mm Dual Drivers,AI T...",3799.0,5299.0,258.0,4.4,Super Deals,28.307227778826196
479,Caidea TWS7 Sufi V5.4 Upto 30Hrs Playtime* Type C Fast ...,299.0,2399.0,923.0,3.5,Super Deals,87.53647353063776
480,"GOBOULT Tenet 75Hrs Battery, App Support, Dual Pairing,...",1299.0,5499.0,173.0,4.0,No Offer,76.37752318603383
481,Caidea TW121 Pro Pods Upto 40 Hrs Playtime* Type C Fast...,265.0,1299.0,923.0,3.5,Super Deals,79.5996920708237
482,"GOBOULT W35 with 48 Hrs Battery Life,4 Mic ENC, Wavy Sh...",699.0,2999.0,173.0,3.9,Bank Offer,76.69223074358119
483,"Soundcore by Anker K20i,36Hr Playtime,Dual mic with AI ...",899.0,5598.0,173.0,4.0,Bank Offer,83.94069310468024
484,"realme Buds Air 7 Pro with 53dB ANC,360 Spatial Audio, ...",4999.0,7999.0,173.0,4.4,Hot Deal,37.50468808601075
485,"Number Super Buds Pro GT99 Dual Pair, 4 Mic ENC Gaming ...",999.0,4999.0,173.0,4.0,Bank Offer,80.01600320064013
486,"GOBOULT Tenet 75Hrs Battery, App Support, Dual Pairing,...",1299.0,5499.0,173.0,4.0,No Offer,76.37752318603383
487,"Caidea TW500 Tube Upto 50H Playtime*, ENC, Fast Chargin...",300.0,2999.0,173.0,3.7,Hot Deal,89.99666555518506
488,"TRIGGR Opus with Latest BT v6.0, Dual Pairing, Chrome L...",699.0,3999.0,173.0,3.9,Bank Offer,82.52063015753939
489,boAt Airdopes Plus 311 Bluetooth,999.0,3990.0,239.0,4.1,Super Deals,74.9624060150376
490,"TRIGGR Kraken X1 with Battery Display, 40ms Latency, Qu...",699.0,3999.0,173.0,4.0,Super Deals,82.52063015753939
491,Caidea TWS8 Sugar V5.4 Upto 30Hrs Playtime* Type C Fast...,299.0,2399.0,923.0,3.5,Super Deals,87.53647353063776
492,"HOPPUP AirDoze F52 Earbuds with 40H PlayTime, 40MS Low ...",599.0,4999.0,239.0,3.9,Bank Offer,88.01760352070414
493,"Noise Buds Trance with 45 Hrs Playtime, Low Latency (up...",999.0,2499.0,173.0,4.1,Hot Deal,60.024009603841534
494,Samsung Galaxy Buds 3 Pro Bluetooth,18999.0,24999.0,916.0,4.5,Bank Offer,24.000960038401537
495,BULLSTORM BS ultrapood Good Sound Bluetooth Gaming,498.0,2999.0,455.0,3.7,Bank Offer,83.3944648216072
496,Aroma NB121 Pods Upto 40 Hours Playtime* Type C Fast Ch...,268.0,1299.0,173.0,3.6,Bank Offer,79.36874518860661
497,"GOBOULT W40 with 4 Mic ENC, 48H Battery Life, Low Laten...",799.0,2999.0,173.0,4.1,Super Deals,73.35778592864288
498,Gabbar New-Newly Launched Buds Marine in-Ear Truly Wire...,1998.0,4999.0,173.0,4.0,Bank Offer,60.032006401280256
499,"boAt Nirvana Crown, SONIC A.R.C,LEDs, Haptic Feedback, ...",2799.0,9990.0,337.0,4.1,Super Deals,71.98198198198197
500,"GOBOULT Z40 with ENC Mic, 60Hr Battery, Metal Finish, L...",999.0,4999.0,173.0,4.1,Bank Offer,80.01600320064013
501,"Mivi Duopods B1 (Just Launched)45Hrs Playtime, AI ENC f...",599.0,2999.0,173.0,4.1,Bank Offer,80.02667555851951
502,Jeevan jyoti agency Earbuds Touch Waterproof LED Digita...,286.0,1385.0,173.0,3.7,Super Deals,79.35018050541515
503,"truke Mega 9 Earbuds w/24 bit 360 Spatial Sound,Leather...",1099.0,3999.0,173.0,4.0,Bank Offer,72.51812953238309
504,"TRIGGR Apex S2 2025, Dual Pairing, 60H Battery, Preset ...",799.0,3999.0,173.0,3.9,Bank Offer,80.02000500125031
505,"ZEBRONICS Zeb-Pods K2, Upto 40H Backup, Dual EQ Mode,Qu...",799.0,4499.0,173.0,4.0,Bank Offer,82.24049788841965
506,"GOBOULT Tenet 75Hrs Battery, App Support, Dual Pairing,...",1299.0,5499.0,173.0,4.0,No Offer,76.37752318603383
507,"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...",799.0,3999.0,173.0,4.0,Bank Offer,80.02000500125031
508,"boAt Airdopes 800 w/ Dolby Audio, 4 Mics AI-ENx Tech, T...",1699.0,5990.0,173.0,4.1,Bank Offer,71.63606010016694
